id,title,genres,average_rating,total_rate,view_cnt,poster_url,summary_id
1228,"Raging Bull (1980)",Drama,4.188,554,0,https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,1228
1230,"Annie Hall (1977)",Comedy|Romance,4.128,972,0,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1230
1231,"Right Stuff, The (1983)",Drama,4.111,574,0,https://m.media-amazon.com/images/M/MV5BOTUwMDA3MTYtZjhjMi00ODFmLTg5ZTAtYzgwN2NlODgzMmUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1231
1232,"Stalker (1979)",Mystery|Sci-Fi,3.75,40,0,https://m.media-amazon.com/images/M/MV5BMDgwODNmMGItMDcwYi00OWZjLTgyZjAtMGYwMmI4N2Q0NmJmXkEyXkFqcGdeQXVyNzY1MTU0Njk@._V1_SX300.jpg,1232
1233,"Boat, The (Das Boot) (1981)",Action|Drama|War,4.319,772,0,https://m.media-amazon.com/images/M/MV5BMWVlODFjY2YtZWZlNy00ODczLTlkNDctOTdiZWQ1NTAyNDIzXkEyXkFqcGdeQXVyMDE4MzA0NQ@@._V1_SX300.jpg,1233
1234,"Sting, The (1973)",Comedy|Crime,4.29,780,0,https://m.media-amazon.com/images/M/MV5BNGU3NjQ4YTMtZGJjOS00YTQ3LThmNmItMTI5MDE2ODI3NzY3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1234
1235,"Harold and Maude (1971)",Comedy,4.176,478,0,https://m.media-amazon.com/images/M/MV5BY2M5Mzg3NjctZTlkNy00MTU0LWFlYTQtY2E2Y2M4NjNiNzllXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1235
1236,"Trust (1990)",Comedy|Drama,4.118,68,0,https://m.media-amazon.com/images/M/MV5BMzM2Mjc0Nzc4NF5BMl5BanBnXkFtZTcwNDk0MjY0NA@@._V1_SX300.jpg,1236
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,4.121,232,0,https://m.media-amazon.com/images/M/MV5BNWE2NmMwZjgtOWYxYy00NWU0LTkzOGUtYTg4Yjk3MDFmY2IyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,1237
1238,"Local Hero (1983)",Comedy,3.951,244,0,https://m.media-amazon.com/images/M/MV5BODhiMmM3YzQtZjMwNy00YTdkLTkwOTItZDhjYWE1ZTVlNmExXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1238
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,4.168,1568,0,https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1240
1241,"Braindead (1992)",Comedy|Horror,3.286,56,0,https://m.media-amazon.com/images/M/MV5BMTg4MzgzOTAyNl5BMl5BanBnXkFtZTgwNzYxNjg0ODE@._V1_SX300.jpg,1241
1242,"Glory (1989)",Action|Drama|War,4.215,864,0,https://m.media-amazon.com/images/M/MV5BNjViMmRkOTEtM2ViOS00ODg0LWJhYWEtNTBlOGQxNDczOGY3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,1242
1243,"Rosencrantz and Guildenstern Are Dead (1990)",Comedy|Drama,3.913,254,0,https://www.namdokorea.com/site/jeonnam/tour/images/noimage.gif,1243
1244,"Manhattan (1979)",Comedy|Drama|Romance,4.051,508,0,https://m.media-amazon.com/images/M/MV5BMzdmY2I3MmEtOGFiZi00MTg1LWIxY2QtNWUwM2NmNWNlY2U5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,1244
1245,"Miller's Crossing (1990)",Drama,4.057,282,0,https://m.media-amazon.com/images/M/MV5BMTY2Njk3MTAzM15BMl5BanBnXkFtZTgwMTY5Mzk4NjE@._V1_SX300.jpg,1245
1246,"Dead Poets Society (1989)",Drama,3.969,642,0,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1246
1247,"Graduate, The (1967)",Drama|Romance,4.222,930,0,https://m.media-amazon.com/images/M/MV5BNjQ4MzUzYjYtYzk1My00M2Y2LWExMDEtY2E1NTlhMmQ0NGQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1247
1248,"Touch of Evil (1958)",Crime|Film-Noir|Thriller,4.17,448,0,https://m.media-amazon.com/images/M/MV5BOTA1MjA3M2EtMmJjZS00OWViLTkwMTEtM2E5ZDk0NTAyNGJiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1248
1249,"Nikita (La Femme Nikita) (1990)",Thriller,3.973,660,0,https://m.media-amazon.com/images/M/MV5BMTEyNjc4MTgtN2YxMS00ZGM5LTk2NjEtOGRhNDY5OWM5ZTQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1249
1250,"Bridge on the River Kwai, The (1957)",Drama|War,4.38,790,0,https://m.media-amazon.com/images/M/MV5BMGVhNjhjODktODgxYS00MDdhLTlkZjktYTkyNzQxMTU0ZDYxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1250
1251,"8 1/2 (1963)",Drama,4.202,188,0,https://m.media-amazon.com/images/M/MV5BNGIzYjA1NTQtZTczNy00ZWRhLThkMDMtMGE4YWI1MzMzM2YxXkEyXkFqcGdeQXVyMzM0ODU1OQ@@._V1_SX300.jpg,1251
1252,"Chinatown (1974)",Film-Noir|Mystery|Thriller,4.328,890,0,https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1252
1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,4.254,448,0,https://m.media-amazon.com/images/M/MV5BMTI5NTg1MzU5Nl5BMl5BanBnXkFtZTcwMDU1ODMwMg@@._V1_SX300.jpg,1253
1254,"Treasure of the Sierra Madre, The (1948)",Adventure,4.322,360,0,https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,1254
1255,"Bad Taste (1987)",Comedy|Horror,3.5,44,0,https://m.media-amazon.com/images/M/MV5BZjI5ZDY5OWYtOTIwMy00MzQ3LWFlM2EtYjMzODIzZGU0NGUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1255
1256,"Duck Soup (1933)",Comedy|War,4.281,442,0,https://m.media-amazon.com/images/M/MV5BYmYxZGU2NWYtNzQxZS00NmEyLWIzN2YtMDk5MWM0ODc5ZTE4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1256
1257,"Better Off Dead... (1985)",Comedy,3.828,338,0,https://m.media-amazon.com/images/M/MV5BMzRmMjE0MzMtZmQzYi00NjQ1LTk5ODgtYWEzZDViODkxNWFjXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1257
1258,"Shining, The (1980)",Horror,4.026,776,0,https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1258
1259,"Stand by Me (1986)",Adventure|Comedy|Drama,4.069,1530,0,https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1259
1260,"M (1931)",Crime|Film-Noir|Thriller,4.248,234,0,https://www.namdokorea.com/site/jeonnam/tour/images/noimage.gif,1260
1261,"Evil Dead II (Dead By Dawn) (1987)",Action|Adventure|Comedy|Horror,3.911,492,0,https://m.media-amazon.com/images/M/MV5BMWY3ODZlOGMtNzJmOS00ZTNjLWI3ZWEtZTJhZTk5NDZjYWRjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1261
1262,"Great Escape, The (1963)",Adventure|War,4.359,552,0,https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,1262
1263,"Deer Hunter, The (1978)",Drama|War,4.087,504,0,https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1263
1264,"Diva (1981)",Action|Drama|Mystery|Romance|Thriller,3.953,172,0,https://m.media-amazon.com/images/M/MV5BMjIxMzUyOTk4MV5BMl5BanBnXkFtZTcwMjEwMDQyMw@@._V1_SX300.jpg,1264
1265,"Groundhog Day (1993)",Comedy|Romance,3.997,1772,0,https://m.media-amazon.com/images/M/MV5BZWIxNzM5YzQtY2FmMS00Yjc3LWI1ZjUtNGVjMjMzZTIxZTIxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1265
1266,"Unforgiven (1992)",Western,4.067,746,0,https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1266
1267,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,4.341,586,0,https://m.media-amazon.com/images/M/MV5BZDU2YjA4MmItODk0OS00OTllLWFmNzUtMTg2ZmM3YWYzOGFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1267
1268,"Pump Up the Volume (1990)",Drama,3.376,250,0,https://m.media-amazon.com/images/M/MV5BNzY2OTkzNzUyNl5BMl5BanBnXkFtZTgwNTY1NTk4NjE@._V1_SX300.jpg,1268
1269,"Arsenic and Old Lace (1944)",Comedy|Mystery|Thriller,4.164,560,0,https://m.media-amazon.com/images/M/MV5BZDVlNTBjMjctNjAzNS00ZGJhLTg2NzMtNzIwYTIzYTBiMDkyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1269
1270,"Back to the Future (1985)",Comedy|Sci-Fi,4.048,1894,0,https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1270
1271,"Fried Green Tomatoes (1991)",Drama,3.789,464,0,https://m.media-amazon.com/images/M/MV5BOWQ1ZWE0MTQtMmEwOS00YjA3LTgyZTAtNjY5ODEyZTJjNDI2XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1271
1272,"Patton (1970)",Drama|War,4.248,484,0,https://m.media-amazon.com/images/M/MV5BMmNhZmJhMmYtNjlkMC00MjhjLTk1NzMtMTNlMzYzNjZlMjNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1272
1273,"Down by Law (1986)",Comedy|Drama,4.0,100,0,https://m.media-amazon.com/images/M/MV5BM2ZmNDJiZTUtYjg5Zi00M2I3LTliZjAtNzQ4NTlkYTAzYTAxXkEyXkFqcGdeQXVyNTkyMDc0MjI@._V1_SX300.jpg,1273
1274,"Akira (1988)",Adventure|Animation|Sci-Fi|Thriller,4.042,378,0,https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@._V1_SX300.jpg,1274
1275,"Highlander (1986)",Action|Adventure,3.793,522,0,https://m.media-amazon.com/images/M/MV5BMjc3YmU3MzQtNTA4OC00ZjljLWFmODAtZDU1YzY5ZTNkZDU3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1275
1276,"Cool Hand Luke (1967)",Comedy|Drama,4.262,648,0,https://m.media-amazon.com/images/M/MV5BOWFlNzZhYmYtYTI5YS00MDQyLWIyNTUtNTRjMWUwNTEzNjA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1276
1277,"Cyrano de Bergerac (1990)",Action|Drama|Romance,3.903,268,0,https://m.media-amazon.com/images/M/MV5BMTk1MTI5ODc3Nl5BMl5BanBnXkFtZTcwNjkyNDYyMQ@@._V1_SX300.jpg,1277
1278,"Young Frankenstein (1974)",Comedy|Horror,4.313,882,0,https://m.media-amazon.com/images/M/MV5BMTEwNjg2MjM2ODFeQTJeQWpwZ15BbWU4MDQ1MDU5OTEx._V1_SX300.jpg,1278
1279,"Night on Earth (1991)",Comedy|Drama,3.74,146,0,https://m.media-amazon.com/images/M/MV5BOGNmMjBmZWEtOWYwZC00NGIzLTg0YWItMzkzMWMwOTU4YTViXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,1279
1280,"Raise the Red Lantern (1991)",Drama,4.29,214,0,https://m.media-amazon.com/images/M/MV5BYjNiMDAyOTUtNTg5Ny00NTE4LThlZmYtYmNlNjUwOTlmNWZhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1280
1281,"Great Dictator, The (1940)",Comedy,3.865,148,0,https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1281
1282,"Fantasia (1940)","Animation|Children's|Musical",3.84,890,0,https://m.media-amazon.com/images/M/MV5BYjhlYzNkOGEtZjNkZC00OTQ4LWJiMzEtMTM3YzBiM2FkMDUxXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_SX300.jpg,1282
1283,"High Noon (1952)",Western,4.218,312,0,https://m.media-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1283
1284,"Big Sleep, The (1946)",Film-Noir|Mystery,4.311,456,0,https://m.media-amazon.com/images/M/MV5BMjdiM2IyZmQtODJiYy00NDNkLTllYmItMmFjMDNiYTQyOGVkXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,1284
1285,"Heathers (1989)",Comedy,3.749,550,0,https://m.media-amazon.com/images/M/MV5BMjE0Mjc3ODAwNV5BMl5BanBnXkFtZTgwMDM3ODI1MDE@._V1_SX300.jpg,1285
1286,"Somewhere in Time (1980)",Drama|Romance,3.536,220,0,https://m.media-amazon.com/images/M/MV5BOTBhZWNlNTgtOWQwYi00N2YwLTkwZjItMjFhOGRmYzU4NDhmXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1286
1287,"Ben-Hur (1959)",Action|Adventure|Drama,4.168,548,0,https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1287
1288,"This Is Spinal Tap (1984)",Comedy|Drama|Musical,4.253,814,0,https://m.media-amazon.com/images/M/MV5BMTQ2MTIzMzg5Nl5BMl5BanBnXkFtZTgwOTc5NDI1MDE@._V1_SX300.jpg,1288
1289,"Koyaanisqatsi (1983)",Documentary|War,3.846,130,0,https://m.media-amazon.com/images/M/MV5BZjlmMWVhYjQtNTZmOC00OTE4LWIxMGItOTg2OTlkZTZkYmI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1289
1290,"Some Kind of Wonderful (1987)",Drama|Romance,3.616,146,0,https://m.media-amazon.com/images/M/MV5BOTg2NmQxNzEtNmUyYi00MGQyLTkwZmYtOTU2MWM5ZmY1OTRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1290
1291,"Indiana Jones and the Last Crusade (1989)",Action|Adventure,4.103,1268,0,https://m.media-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,1291
1292,"Being There (1979)",Comedy,3.976,494,0,https://m.media-amazon.com/images/M/MV5BY2JkZTcxYjEtNmUwNi00MjIzLWE1YjUtMDYzNWJjYWQwMzA5XkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX300.jpg,1292
1293,"Gandhi (1982)",Drama,4.201,528,0,https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1293
1294,"M*A*S*H (1970)",Comedy|War,4.143,784,0,https://m.media-amazon.com/images/M/MV5BNTY1MjA2ZjUtMDU1YS00ZjBlLWJiN2MtZTViNjEwYjU1MzgxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,
1295,"Unbearable Lightness of Being, The (1988)",Drama,3.589,214,0,https://m.media-amazon.com/images/M/MV5BNzE2NWU4YzEtZTU4NC00NDE0LTlhOTktMjUwMWJiYzAwZjI0XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1295
1296,"Room with a View, A (1986)",Drama|Romance,4.02,406,0,https://m.media-amazon.com/images/M/MV5BYTEyYmE0M2MtZDQ1OC00MGUxLWI4OGMtM2M1ZjIyNDI0Y2Q4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,1296
1297,"Real Genius (1985)",Comedy,3.637,336,0,https://m.media-amazon.com/images/M/MV5BNTQ5MzU3ODg0OF5BMl5BanBnXkFtZTgwODM0MzQxMDE@._V1_SX300.jpg,1297
1298,"Pink Floyd - The Wall (1982)",Drama|Musical|War,3.65,274,0,https://www.namdokorea.com/site/jeonnam/tour/images/noimage.gif,1298
1299,"Killing Fields, The (1984)",Drama|War,4.318,548,0,https://m.media-amazon.com/images/M/MV5BMGI0NzI5YjAtNTg0MS00NDA2LWE5ZWItODRmOTAxOTAxYjg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1299
1300,"My Life as a Dog (Mitt liv som hund) (1985)",Drama,4.023,264,0,https://m.media-amazon.com/images/M/MV5BNjQzYmFjZTUtMzU3NC00ZWYyLTkzNWItMWQ4MWE4YmZlMmJhXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,1300
1301,"Forbidden Planet (1956)",Sci-Fi,4.014,294,0,https://m.media-amazon.com/images/M/MV5BOTdmODZkNmQtYjU4Mi00MTcyLTg5YmEtNmVjMWU1M2Y5NzgyXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,1301
1302,"Field of Dreams (1989)",Drama,3.997,586,0,https://m.media-amazon.com/images/M/MV5BNzk5OWY0YjAtYWU3ZS00Y2Q4LWFlNjItMzgwMTQ2MjIyMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1302
1303,"Man Who Would Be King, The (1975)",Adventure,4.087,208,0,https://m.media-amazon.com/images/M/MV5BZWQzYjBjZmQtZDFiOS00ZDQ1LWI4MDAtMDk1NGE1NDBhYjNhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1303
1304,"Butch Cassidy and the Sundance Kid (1969)",Action|Comedy|Western,4.169,968,0,https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_SX300.jpg,1304
1305,"Paris, Texas (1984)",Drama,3.864,88,0,https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg,1305
1306,"Until the End of the World (Bis ans Ende der Welt) (1991)",Drama|Sci-Fi,3.5,100,0,https://m.media-amazon.com/images/M/MV5BMTEwNjQzOTMyOTdeQTJeQWpwZ15BbWU4MDU3ODI4MDEx._V1_SX300.jpg,1306
1307,"When Harry Met Sally... (1989)",Comedy|Romance,4.048,1164,0,https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,1307
1308,"I Shot a Man in Vegas (1995)",Comedy,0.0,0,0,https://images-na.ssl-images-amazon.com/images/M/MV5BNjg1OTM1MDMyMF5BMl5BanBnXkFtZTcwNjAwMjkzMQ@@._V1_SX300.jpg,1308
1309,"Parallel Sons (1995)",Drama|Romance,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMTcxMTc4NjgzN15BMl5BanBnXkFtZTcwNTcyNTY1Mw@@._V1_SX300.jpg,1309
1310,"Hype! (1996)",Documentary,3.391,46,0,https://m.media-amazon.com/images/M/MV5BZmQ0NGE0MGUtZTNjMi00N2EyLThkMDUtZDg0NzIzNmUxNzc5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,1310
1311,"Santa with Muscles (1996)",Comedy,1.0,12,0,https://m.media-amazon.com/images/M/MV5BMTBkNmZhZGUtMzkyNi00ZThhLTg1YmQtMzUyNjA3MzA3MTAxXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_SX300.jpg,
1312,"Female Perversions (1996)",Drama,3.417,24,0,https://m.media-amazon.com/images/M/MV5BMTI2OTk1NDA3NF5BMl5BanBnXkFtZTYwNTY1MTA5._V1_SX300.jpg,1312
1313,"Mad Dog Time (1996)",Crime,2.286,14,0,https://m.media-amazon.com/images/M/MV5BYzA1NGZmOWQtMTBlYS00Njc3LThlYjQtOTEyYTY2MmMyNTc0XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,1313
1314,"Breathing Room (1996)",Romance,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMTg4NzkxNzIyNF5BMl5BanBnXkFtZTcwNDg1NTU3MQ@@._V1_SX300.jpg,1314
1315,"Paris Was a Woman (1995)",Documentary,2.0,2,0,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NDk3MDI4MF5BMl5BanBnXkFtZTcwNjAzOTYyMQ@@._V1_SX300.jpg,1315
1316,"Anna (1996)",Drama,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,
1317,"I'm Not Rappaport (1996)",Comedy,3.286,42,0,https://m.media-amazon.com/images/M/MV5BM2RkZWU3NTAtYjkyZC00OTkwLWI5MzctM2VkZWY0ODcyMzk3XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,1317
1318,"Blue Juice (1995)",Comedy|Drama,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMTA0ZDk0ZWMtMTcxNC00NjY1LWFmNTMtNzM0MjkzMzY2ZTNjXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,1318
1319,"Kids of Survival (1993)",Documentary,0.0,0,0,https://www.namdokorea.com/site/jeonnam/tour/images/noimage.gif,
1320,"AlienÃ¯Â¿Â½ (1992)",Action|Horror|Sci-Fi|Thriller,2.997,688,0,https://www.namdokorea.com/site/jeonnam/tour/images/noimage.gif,1320
1321,"American Werewolf in London, An (1981)",Horror,3.752,420,0,https://m.media-amazon.com/images/M/MV5BNTYzMDk3MzIyNV5BMl5BanBnXkFtZTgwOTM2OTE4MzE@._V1_SX300.jpg,1321
1322,"Amityville 1992: It's About Time (1992)",Horror,1.727,22,0,https://m.media-amazon.com/images/M/MV5BYjc0MThhNzMtZGVkNi00NmU5LTk4OWItM2YxYjFmNTRmMWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1322
1323,"Amityville 3-D (1983)",Horror,1.5,28,0,https://m.media-amazon.com/images/M/MV5BZTU5Y2YwOGUtM2UwMi00NjZiLWJkMTYtZTI0YzdmYTRhZmRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1323
1324,"Amityville: Dollhouse (1996)",Horror,1.5,8,0,https://m.media-amazon.com/images/M/MV5BMTIwOTg1ODE5MV5BMl5BanBnXkFtZTcwNTczNjcyMQ@@._V1_SX300.jpg,1324
1325,"Amityville: A New Generation (1993)",Horror,1.375,16,0,https://m.media-amazon.com/images/M/MV5BNDJkYTBlNDAtYjVmMy00YzhiLTljMjItZGI2ZDY3NjJlMzAyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,1325
1326,"Amityville II: The Possession (1982)",Horror,2.062,32,0,https://m.media-amazon.com/images/M/MV5BMTYwMTAyOTY4OF5BMl5BanBnXkFtZTcwNjMwODQ2NA@@._V1_SX300.jpg,1326
1327,"Amityville Horror, The (1979)",Horror,2.837,306,0,https://m.media-amazon.com/images/M/MV5BMzc1Njc2NDc3NV5BMl5BanBnXkFtZTYwODYyNzI3._V1_SX300.jpg,1327
1328,"Amityville Curse, The (1990)",Horror,1.889,18,0,https://m.media-amazon.com/images/M/MV5BZDFkNGVjMGEtMGVlOS00ZTdjLWJiNGYtOWZkNTllNDA5ZmExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,
1329,"Blood For Dracula (Andy Warhol's Dracula) (1974)",Horror,3.071,28,0,https://m.media-amazon.com/images/M/MV5BMDIyYWU1MzEtOTUwMi00MzQ4LTgzMDYtOTY1MTQ1Zjc1ODUxXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1329
1330,"April Fool's Day (1986)",Comedy|Horror,3.162,74,0,https://m.media-amazon.com/images/M/MV5BMjY0NjNiZDgtMTY0ZS00MTQwLTg2Y2UtYzVlOWQ0NDdkNWNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1330
1331,"Audrey Rose (1977)",Horror,3.286,42,0,https://m.media-amazon.com/images/M/MV5BODQ0NDU3Njk2Ml5BMl5BanBnXkFtZTcwODk3MTE3NA@@._V1_SX300.jpg,1331
1332,"Believers, The (1987)",Horror|Thriller,3.074,54,0,https://m.media-amazon.com/images/M/MV5BMzRiMzRjZDgtOTBmYi00MTBhLWI2NjAtYzc4ZjgxZjVjZDliXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1332
1333,"Birds, The (1963)",Horror,3.938,518,0,https://m.media-amazon.com/images/M/MV5BMTAxNDA1ODc5MDleQTJeQWpwZ15BbWU4MDg2MDA4OTEx._V1_SX300.jpg,1333
1334,"Blob, The (1958)",Horror|Sci-Fi,3.271,236,0,https://m.media-amazon.com/images/M/MV5BYWIzYjFmZTAtNWMxZS00MmVhLTkyYmEtZjkzZWQwMzg0N2ZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1334
